                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.198,                 3.2314,                 1.4149,                0.00307,                      1,                0.59712,                0.39389,                 1.0639,                  3.838,                 1.2695,                0.00048,                0.00048,                0.00048
                      2,                0.98172,                 2.0524,                 1.1524,                0.77684,                0.68119,                0.74458,                 0.4886,                 1.0744,                 2.9927,                 1.3515,             0.00094119,             0.00094119,             0.00094119
                      3,                 1.0192,                 1.8637,                  1.179,                0.49386,                0.47826,                0.38787,                0.23016,                 1.6781,                 3.2516,                 1.7138,              0.0013628,              0.0013628,              0.0013628
                      4,                 1.0488,                 1.8311,                 1.2186,                0.47278,                0.30435,                0.33417,                 0.1667,                 1.5831,                 3.5927,                 1.7269,              0.0017448,              0.0017448,              0.0017448
                      5,                 1.0643,                 1.6806,                 1.2137,                0.18368,                0.25927,                0.22216,                0.14479,                 1.6845,                 9.5552,                 1.7384,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.0333,                 1.5669,                 1.1878,                0.52687,                0.67391,                0.62258,                0.41519,                  1.198,                 3.2762,                 1.4037,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.0359,                 1.4052,                 1.2025,                0.52027,                0.78261,                 0.7172,                 0.4861,                   1.06,                 2.4169,                 1.2522,               0.001604,               0.001604,               0.001604
                      8,                 1.0919,                 1.4171,                 1.2256,                0.94716,                0.77948,                0.86035,                0.61599,                0.94604,                 1.2962,                 1.1488,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0255,                 1.3821,                 1.1966,                0.77205,                0.88363,                0.84167,                 0.6547,                0.80964,                 1.2658,                 1.0673,              0.0014456,              0.0014456,              0.0014456
                     10,                0.96615,                 1.2679,                 1.1667,                0.86002,                0.84783,                0.92854,                0.66401,                0.85575,                 1.3653,                 1.0915,              0.0013664,              0.0013664,              0.0013664
                     11,                0.92768,                 1.1143,                 1.1272,                0.86848,                0.82609,                0.88041,                0.65891,                0.84279,                 1.0905,                  1.128,              0.0012872,              0.0012872,              0.0012872
                     12,                0.91615,                 1.1681,                 1.1018,                 0.8431,                0.81782,                0.86496,                0.67309,                0.76436,                 1.0154,                 1.0303,               0.001208,               0.001208,               0.001208
                     13,                0.86914,                  1.041,                 1.0939,                0.95333,                0.80435,                0.90637,                0.70384,                0.88361,                0.92013,                 1.1159,              0.0011288,              0.0011288,              0.0011288
                     14,                0.90289,                 1.0077,                 1.1369,                0.93052,                0.86957,                0.93563,                0.72631,                0.78485,                 0.8611,                 1.0553,              0.0010496,              0.0010496,              0.0010496
                     15,                0.88949,                 1.0382,                 1.1433,                0.92048,                0.84783,                 0.9034,                0.73101,                0.76593,                0.79108,                 1.0629,              0.0009704,              0.0009704,              0.0009704
                     16,                0.76595,                 0.9605,                 1.0592,                  0.854,                0.89017,                0.88995,                 0.7178,                 0.7445,                0.77642,                 1.0339,              0.0008912,              0.0008912,              0.0008912
                     17,                0.78052,                0.86703,                 1.0642,                0.93237,                0.76087,                0.87089,                0.70595,                0.77173,                0.83904,                 1.0501,               0.000812,               0.000812,               0.000812
                     18,                0.72843,                0.83426,                 1.0254,                0.94553,                0.78261,                0.90694,                0.71783,                0.79041,                0.73488,                 1.0564,              0.0007328,              0.0007328,              0.0007328
                     19,                0.71452,                0.77897,                 1.0126,                0.92386,                0.86957,                0.92494,                0.73995,                 0.7399,                0.68537,                 1.0547,              0.0006536,              0.0006536,              0.0006536
                     20,                0.72701,                 0.8047,                 1.0314,                0.94751,                0.86957,                0.92143,                0.73267,                0.75131,                0.69222,                 1.0502,              0.0005744,              0.0005744,              0.0005744
                     21,                0.69565,                0.72132,                 1.0212,                0.90701,                0.93478,                0.92304,                0.75344,                0.70351,                0.60704,                0.99983,              0.0004952,              0.0004952,              0.0004952
                     22,                0.65996,                0.71321,                0.98499,                0.87899,                0.94755,                0.93379,                0.76554,                 0.6775,                0.59322,                 0.9773,               0.000416,               0.000416,               0.000416
                     23,                0.64524,                0.66268,                0.97469,                0.95517,                0.84783,                0.94143,                 0.7739,                0.66965,                0.57297,                0.98701,              0.0003368,              0.0003368,              0.0003368
                     24,                0.64683,                 0.6789,                0.97305,                0.97603,                0.88518,                0.93576,                0.78755,                0.65844,                0.55918,                 1.0026,              0.0002576,              0.0002576,              0.0002576
                     25,                0.63328,                0.62567,                0.99797,                0.93176,                0.91304,                0.93129,                0.76942,                 0.6801,                0.57153,                 1.0231,              0.0001784,              0.0001784,              0.0001784
